
#S 84  LISAKscan2 energy Edge Tint dPoint iMach
#D Sat Jun 08 18:07:28 2024
#T 2  (Seconds)
#G0 0
#G1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
#G3 0 0 0 0 0 0 0 0 0
#G4 0
#Q 
#P0  11.199983 10.170212 8.5778827 0 -3.395 5.395125 1.0641
#P1 61.064425 62.1285 30 2 -4.395 67.999998 23.999999 1443.3495
#P2 49.150794 -0.33209877 0.32 0.17777778 54 60.000028 13.4 -12.5
#P3 101.7 50.479531 131.35 44.999997 0.01 -1 -10 74
#P4 0 300 300 -38.799855 7.6197105 
#UMI0     Current AutoM      Shutter    
#UMI1      199.34    ON     FE open     
#UMI2 Refill in 3153 sec, Fill Mode: 7/8 multibunch / Message: Jun  8 18:01 Delivery:Next Refill at 19:00; 
#N 44
#L energy    Epoch  ebragg  epitch  srcur  I0_eh2  I1_eh2  IX_eh2  IR_eh2  c8  VPOS_enc  HPOS2_enc  RBENCH_enc  EBENCH_enc  ROT_enc  HPOS1_enc  fluo01  fluo02  fluo03  fluo04  fluo05  fluo06  fluo07  fluo08  fluo09  fluo10  fluo11  fluo12  fluo13  I0_eh1  I1_eh1  IX_eh1  c9  volt1  volt2  sdd  ebraggc  e1pv  e1sp  e1op  e1wsp  Oxford503  Seconds  Seconds
11.332143  210398.710 8267721 38100307 197.71687 237179 105182 69754 0 0 -17820 -5703 -15005 147056 -76 -2354 273101.64 587328.68 321076.5 0 522419.01 535965.35 564529.94 541406.07 536573.99 297942.56 601932.42 345924.23 0 41121 0 2000027 0 0.0073244423 -0.0048829615 0 8267734.4 0 0 0 0 0 2.000001 2.000001
11.335079  210402.097 8265558 38100307 197.70763 237118 105470 70847 0 0 -17820 -5703 -15005 147056 -76 -2354 267106.31 584818.74 321407.37 0 518406.03 533360.48 561273.54 540166.69 530767.72 299366 597261.74 343538.78 0 41106 0 2000028 0 0.0073244423 -0.0048829615 0 8265574.4 0 0 0 0 0 2.000001 2.000001
11.33806  210405.500 8263412 38100308 197.70355 237036 105735 71711 0 0 -17820 -5703 -15005 147056 -76 -2354 271685.3 583983.64 319030.1 0 518256.84 530658.12 558505.94 537486.97 532767.22 302838.27 594804.26 342066.56 0 41094 0 2000027 0 0.0073244423 -0.0048829615 0 8263426.3 0 0 0 0 0 2.000001 2.000001
11.341088  210408.882 8261261 38100308 197.694 236974 106000 72427 0 0 -17820 -5703 -15005 147056 -76 -2354 275587.77 581565.94 318275.92 0 518071.28 530440.33 556228.28 535438.38 534762.55 302717.08 593369.91 341775.59 0 41076 0 2000028 0 0.0073244423 -0.0048829615 0 8261275.7 0 0 0 0 0 2.000001 2.000001
11.344117  210412.279 8259036 38100307 197.68455 236875 106226 73201 0 0 -17820 -5703 -15005 147056 -76 -2354 270885.67 579551.98 317063.46 0 513070.31 528074.15 556402.08 534445.06 529424.04 301996.74 593866.74 339244.54 0 41053 0 2000027 0 0.0073244423 -0.0048829615 0 8259052.4 0 0 0 0 0 2.000001 2.000001
11.347148  210415.689 8256881 38100308 197.68083 234001 105182 72967 0 0 -17820 -5703 -15005 147056 -76 -2354 265604.9 573627.87 312266.53 0 509534.87 519994.61 548314.56 526075.93 522706.73 298256.53 584865.95 334876.76 0 40590 0 2000027 0 0.0073244423 -0.0048829615 0 8256894.7 0 0 0 0 0 2.000001 2.000001
11.35018  210419.073 8254714 38100307 197.67148 236430 106651 74986 0 0 -17820 -5703 -15005 147056 -76 -2354 268755.47 575050.11 312857.94 0 509472.22 522345.52 549135.5 528888.77 523807.45 296303.17 585964.2 336284.44 0 40974 0 2000028 0 0.0073244423 -0.0048829615 0 8254730.1 0 0 0 0 0 2.000001 2.000001
11.353259  210422.468 8252419 38100307 197.66198 236538 107002 76172 0 0 -17820 -5703 -15005 147056 -76 -2354 272539.63 573374.42 311848.07 0 511476.88 519784.1 545705.33 525249.54 524971.62 297213.25 585461.26 335717.18 0 40989 0 2000027 0 0.0073244423 -0.0048829615 0 8252435.5 0 0 0 0 0 2.000001 2.000001
11.356384  210425.857 8250213 38100307 197.6574 236500 107338 77304 0 0 -17820 -5703 -15005 147056 -76 -2354 264640.94 570788.57 309539.52 0 505747.93 517153.8 545431.74 523928.31 521691.14 295544.15 581652.14 332942.46 0 40973 0 2000027 0 0.012207404 -0.0048829615 0 8250228.3 0 0 0 0 0 2.000001 2.000001
11.359511  210429.243 8247917 38100307 197.64848 236432 107630 78664 0 0 -17820 -5703 -15005 147056 -76 -2354 262436.37 566261.44 307672.51 0 503650.03 513273.85 542026.41 521960.33 518417.77 284245.77 578947.3 331688.06 0 40962 0 2000027 0 0.0073244423 -0.0048829615 0 8247934.2 0 0 0 0 0 2.000001 2.000001
11.362639  210432.646 8245637 38100307 197.63924 236329 107920 79627 0 0 -17820 -5703 -15005 147056 -76 -2354 262593.04 565957.01 306490.55 0 502643.18 513833.74 536405.61 518044.87 514252.81 288101.88 574178.46 327947.42 0 40940 0 2000027 0 0.0073244423 -0.0048829615 0 8245651.6 0 0 0 0 0 2.000001 2.000001
11.365769  210436.031 8243452 38100307 197.62981 236245 108135 80263 0 0 -17820 -5703 -15005 147056 -76 -2354 261113.86 562043.99 306543.65 0 500108.48 510768.03 537811.12 517547.54 514090.34 289332.7 573694.96 327637.94 0 40920 0 2000027 0 0.0073244423 -0.0048829615 0 8243467 0 0 0 0 0 2.000001 2.000001
11.368946  210439.418 8241096 38100308 197.6251 236146 108302 80543 0 0 -17820 -5703 -15005 147056 -76 -2354 259236 562874.32 306598.74 0 500284.35 511403.88 536757.79 516661.16 513272.08 285729.3 572185.9 327411.56 0 40899 0 2000028 0 0.0073244423 -0.0048829615 0 8241111.2 0 0 0 0 0 2.000001 2.000001
11.372125  210442.799 8238873 38100307 197.61683 236074 108413 80252 0 0 -17820 -5703 -15005 147056 -76 -2354 262993.36 563912.03 305943.77 0 502681.56 512498 537458.39 521329.83 516780.61 292310.3 575265.62 328992.09 0 40882 0 2000027 0 0.0073244423 -0.0048829615 0 8238886.8 0 0 0 0 0 2.000001 2.000001
11.37535  210446.196 8236569 38100308 197.6079 235997 108494 79705 0 0 -17820 -5703 -15005 147056 -76 -2354 257750.57 566490.15 307866.25 0 502711.32 513237.14 541231.48 520718.63 515685.19 292770.43 578544.97 327944.01 0 40866 0 2000028 0 0.0073244423 -0.0048829615 0 8236584 0 0 0 0 0 2.000001 2.000001
11.378577  210449.579 8234254 38100307 197.60336 235869 108565 78680 0 0 -17820 -5703 -15005 147056 -76 -2354 261593.82 569893.28 310760.71 0 505635.9 516178.7 543191.26 526500.41 519496.12 294421.24 583137.96 332401.43 0 40837 0 2000027 0 0.0073244423 -0.0048829615 0 8234266.6 0 0 0 0 0 2.000001 2.000001
11.381851  210452.989 8231948 38100308 197.59407 235783 108631 78319 0 0 -17820 -5703 -15005 147056 -76 -2354 270506.94 571773.73 311911.78 0 510616.36 518470.61 545834.58 526782.25 524991.66 292980.66 583480.84 334383.09 0 40819 0 2000027 0 0.012207404 -0.0048829615 0 8231961.8 0 0 0 0 0 2.000001 2.000001
11.385082  210456.374 8229651 38100307 197.58428 235668 108703 77545 0 0 -17820 -5703 -15005 147056 -76 -2354 263027.51 575018.53 312553.8 0 510777.53 522519.35 551390.58 529398.73 521837 297644.09 584764.95 334398.61 0 40793 0 2000028 0 0.0073244423 -0.009765923 0 8229662.5 0 0 0 0 0 2.000001 2.000001
11.388404  210459.762 8227286 38100307 197.58004 235576 108798 77187 0 0 -17820 -5703 -15005 147056 -76 -2354 261327.09 575608.3 313889.02 0 509692.13 523340.51 550444.46 531314.04 523918.66 287768.59 588785.67 336494.51 0 40775 0 2000027 0 0.0073244423 -0.0048829615 0 8227299.8 0 0 0 0 0 2.000001 2.000001
11.391684  210463.150 8224958 38100307 197.57088 235449 108903 76883 0 0 -17820 -5703 -15005 147056 -76 -2354 272267.21 578375.79 315422.32 0 515729.73 526599.81 551950.02 531390.13 528810.62 263034.12 590645.88 339804.11 0 40753 0 2000027 0 0.012207404 -0.0048829615 0 8224970.8 0 0 0 0 0 2.000001 2.000001
11.39501  210466.567 8222634 38100307 197.56225 235203 108974 76961 0 0 -17820 -5703 -15005 147056 -76 -2354 269819.79 578532.25 315835.23 0 516104.52 526101.4 552472.74 531271.22 527905.14 271751.96 591082.31 337955.08 0 40710 0 2000027 0 0.0073244423 -0.0048829615 0 8222648.2 0 0 0 0 0 2.000001 2.000001
11.398384  210469.962 8220186 38100308 197.55335 234893 109036 76948 0 0 -17820 -5703 -15005 147056 -76 -2354 267141.21 578375.42 315675.04 0 514090.62 526087.72 556307.51 532387.41 528210.44 296943.01 590835.92 339407.71 0 40650 0 2000027 0 0.012207404 -0.0048829615 0 8220200.2 0 0 0 0 0 2.000001 2.000001
11.401714  210473.379 8217906 38100307 197.54854 235250 109447 77324 0 0 -17820 -5703 -15005 147056 -76 -2354 267646.19 578383.09 316483.16 0 517471.65 526749.03 553227.08 534329.92 528572.24 270593.54 591294.8 338619.03 0 40708 0 2000027 0 0.0073244423 -0.0048829615 0 8217920.6 0 0 0 0 0 2.000001 2.000001
11.405092  210476.772 8215442 38100307 197.53973 235158 109657 77653 0 0 -17820 -5703 -15005 147056 -76 -2354 273901.7 580394.95 316173.77 0 517172.97 527201.58 555014.96 535004.41 527584.26 301695.95 591794.88 340485.72 0 40679 0 2000027 0 0.0073244423 -0.0048829615 0 8215457.5 0 0 0 0 0 2.000001 2.000001
11.408516  210480.166 8213087 38100307 197.53105 235031 109869 78024 0 0 -17820 -5703 -15005 147056 -76 -2354 272666.11 581203.43 316101.4 0 516260.59 526688.22 552611.35 532964.6 528549.92 299799.31 592753.58 338191.52 0 40654 0 2000028 0 0.0073244423 -0.0048829615 0 8213102.5 0 0 0 0 0 2.000001 2.000001
